Tag,TLabel,Column Inserted By FY (1 = Include in Cap Table),Custom,Abstract,CRDR,Datatype,Doc,IORD,Count
StockholderEquityAttributableToParent,StockholderEquityAttributableToParent,,1,0,C,,"Total of all stockholders' equity (deficit) items, net of receivables from officers, directors, owners, and affiliates of the entity which are attributable to the parent. The amount of the economic entity's stockholders' equity attributable to the parent excludes the amount of stockholders' equity which is allocable to that ownership interest in subsidiary equity which is not attributable to the parent (noncontrolling interest, minority interest).",I,1
RedeemableNoncontrollingInterestEquityPreferredCarryingAmountCurrent,RedeemableNoncontrollingInterestEquityPreferredCarryingAmountCurrent,,1,0,C,,,I,1
TemporaryEquitySharesIssued1,TemporaryEquitySharesIssued1,,1,0,,,"The number of securities classified as temporary equity that have been sold (or granted) to the entity's shareholders. Securities issued include securities outstanding and securities held in treasury. Temporary equity is a security with redemption features that are outside the control of the issuer, is not classified as an asset or liability in conformity with GAAP, and is not mandatorily redeemable. Includes any type of security that is redeemable at a fixed or determinable price or on a fixed or determinable date or dates, is redeemable at the option of the holder, or has conditions for redemption which are not solely within the control of the issuer. If convertible, the issuer does not control the actions or events necessary to issue the maximum number of shares that could be required to be delivered under the conversion option if the holder exercises the option to convert the stock to another class of equity.",I,1
TemporaryEquitySharesOutstanding1,TemporaryEquitySharesOutstanding1,,1,0,,,"The number of securities classified as temporary equity that have been sold (or granted) to the entity's shareholders. Securities issued include securities outstanding and securities held in treasury. Temporary equity is a security with redemption features that are outside the control of the issuer, is not classified as an asset or liability in conformity with GAAP, and is not mandatorily redeemable. Includes any type of security that is redeemable at a fixed or determinable price or on a fixed or determinable date or dates, is redeemable at the option of the holder, or has conditions for redemption which are not solely within the control of the issuer. If convertible, the issuer does not control the actions or events necessary to issue the maximum number of shares that could be required to be delivered under the conversion option if the holder exercises the option to convert the stock to another class of equity.",I,1
RedeemableNoncontrollingInterestEquityDeficitCommonCarryingAmount,Redeemable Noncontrolling Interest Equity Deficit Common Carrying Amount,,1,0,C,,Redeemable noncontrolling interest equity deficit common carrying amount.,I,1
CommonStockSubjectToPossibleRedemptionSharesRedemptionValue,CommonStockSubjectToPossibleRedemptionSharesRedemptionValue,,1,0,,,"Amount to be paid share that is classified as temporary equity by entity upon redemption. Temporary equity is a security with redemption features that are outside the control of the issuer, is not classified as an asset or liability in conformity with GAAP, and is not mandatorily redeemable. Includes any type of security that is redeemable at a fixed or determinable price or on a fixed or determinable date or dates, is redeemable at the option of the holder, or has conditions for redemption which are not solely within the control of the issuer. If convertible, the issuer does not control the actions or events necessary to issue the maximum number of shares that could be required to be delivered under the conversion option if the holder exercises the option to convert the stock to another class of equity. If the security is a warrant or a rights issue, the warrant or rights issue is considered to be temporary equity if the issuer cannot demonstrate that it would be able to deliver upon the exercise of the option by the holder in all cases. Includes stock with put option held by ESOP and stock redeemable by holder only in the event of a change in control of the issuer.",I,1
NoncontrollingInterestInVariableInterestEntityAndSubsidiary,NoncontrollingInterestInVariableInterestEntityAndSubsidiary,,1,0,D,,,I,1
Asset,Asset,,1,0,D,,Sum of the carrying amounts as of the balance sheet date of all assets that are recognized. Assets are probable future economic benefits obtained or controlled by an entity as a result of past transactions or events.,I,1
NetInvestmentInCommonControlGroup,Net Investment In Common Control Group,,1,0,C,,Net investment in common control group.,I,1
AssetsTotal,"Assets, Total",,1,0,D,,The amount of a present economic resource controlled by the entity as a result of past events. Economic resource is a right that has the potential to produce economic benefits.,I,1
TemporaryEquityCarryingAmountAttributableToParentTwo,TemporaryEquityCarryingAmountAttributableToParentTwo,,1,0,C,,"Carrying amount, attributable to parent, of an entity's issued and outstanding stock which is not included within permanent equity. Temporary equity is a security with redemption features that are outside the control of the issuer, is not classified as an asset or liability in conformity with GAAP, and is not mandatorily redeemable. Includes any type of security that is redeemable at a fixed or determinable price or on a fixed or determinable date or dates, is redeemable at the option of the holder, or has conditions for redemption which are not solely within the control of the issuer. Includes stock with a put option held by an ESOP and stock redeemable by a holder only in the event of a change in control of the issuer.",I,1
StockholdersEquityIncludingPortionsAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionsAttributableToNoncontrollingInterest,,1,0,C,,,I,1
TemporaryEquityCarryingAmountAttributableToParent1,TemporaryEquityCarryingAmountAttributableToParent1,,1,0,C,,"Carrying amount, attributable to parent, of an entity's issued and outstanding stock which is not included within permanent equity. Temporary equity is a security with redemption features that are outside the control of the issuer, is not classified as an asset or liability in conformity with GAAP, and is not mandatorily redeemable. Includes any type of security that is redeemable at a fixed or determinable price or on a fixed or determinable date or dates, is redeemable at the option of the holder, or has conditions for redemption which are not solely within the control of the issuer. Includes stock with a put option held by an ESOP and stock redeemable by a holder only in the event of a change in control of the issuer.",I,1
TemporaryEquityCarryingAmountAttributableToTheParent,TemporaryEquityCarryingAmountAttributableToTheParent,,1,0,C,,"Carrying amount, attributable to parent, of an entity's issued and outstanding stock which is not included within permanent equity. Temporary equity is a security with redemption features that are outside the control of the issuer, is not classified as an asset or liability in conformity with GAAP, and is not mandatorily redeemable. Includes any type of security that is redeemable at a fixed or determinable price or on a fixed or determinable date or dates, is redeemable at the option of the holder, or has conditions for redemption which are not solely within the control of the issuer. Includes stock with a put option held by an ESOP and stock redeemable by a holder only in the event of a change in control of the issuer.",I,1
RedeemableNonControllingInterestsNoncurrent,"Redeemable Non-Controlling Interests, Noncurrent",,1,0,C,,"Carrying value of redeemable non-controlling interests, noncurrent portion.",I,1
StockholdersEquityIncludingPortionAttributableToNonControllingInterestAssetsNet,Stockholders Equity Including Portion Attributable To Non Controlling Interest Assets Net,,1,0,C,,"Amount after tax of increase (decrease) to equity or (increase) decrease to net assets, resulting from the cumulative effect adjustment of a new accounting principle applied in the period of adoption.",I,1
RedeemableNonControllingInterestsCurrent,"Redeemable Non-Controlling Interests, Current",,1,0,C,,"Carrying value of redeemable non-controlling interests, current portion.",I,1
NoncontrollingInterestInConsolidatedSubsidiary,Noncontrolling Interest In Consolidated Subsidiary,,1,0,C,,Noncontrolling interest in consolidated subsidiary.,I,1
DueFromIntercompaniesCurrent,"Due from Inter-companies, Current",,1,0,D,,Amounts due from an entity in which the reporting entity shares joint control with another party or group.,I,1
ReserveWithRespectToTransactionUnderCommonControl,Reserve With Respect To Transaction Under Common Control,,1,0,C,,Reserve with respect to transaction under common control.,I,1
TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterestExcludingEquityComponentOfRedeemableConvertibleNotes,"Temporary Equity, Carrying Amount, Including Portion Attributable To Noncontrolling Interest, Excluding Equity Component Of Redeemable Convertible Notes",,1,0,C,,"Temporary Equity, Carrying Amount, Including Portion Attributable To Noncontrolling Interest, Excluding Equity Component Of Redeemable Convertible Notes",I,1
MinorityInterestAmount,MinorityInterestAmount,,1,0,C,,"Total of all stockholders' equity (deficit) items, net of receivables from officers, directors, owners, and affiliates of the entity which is directly or indirectly attributable to that ownership interest in subsidiary equity which is not attributable to the parent (that is, noncontrolling interest, previously referred to as minority interest).",I,1
AdvancesFromRelatedParties,Advances From Related Parties,,1,0,C,,"The aggregate amount of receivables to be collected from related parties where one party can exercise control or significant influence over another party; including affiliates, owners or officers and their immediate families, pension trusts, and so forth, at the financial statement date. which are usually due within one year (or one business cycle).",I,1
LoanFromControllingShareholder,LoanFromControllingShareholder,,1,0,C,,The amount of loan from controlling shareholder.,I,1
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest1,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest1,,1,0,C,,"Amount of stockholders' equity (deficit), net of receivables from officers, directors, owners, and affiliates of the entity, attributable to both the parent and noncontrolling interests. Amount excludes temporary equity. Alternate caption for the concept is permanent equity.",I,1
InvestmentOwnedSecurityAtFairValue,"Investment Owned, Security at Fair Value",,1,0,D,,"Value of the investment at close of period. For schedules of investments that are categorized, the value would be aggregated by Security category. For investment in and advances to affiliates, if operations of any controlled companies are different in character from those of the company, group such affiliates within divisions and by type of activities.",I,1
NoncontrollingsInterest,NoncontrollingsInterest,,1,0,C,,Non-controlling interest.,I,1
TransactionReserveWithNonControllingInterest,Transaction Reserve With Non Controlling Interest,,1,0,C,,Transaction reserve with non-controlling Interests.,I,1
